"LOC" "A" "spattemp_cluster" "samplingpair" "height"
"72" "Caslano, Mt. Caslano, Ostseite (Stremanode-Süd)" 2016 "2016_2" 5 342.4
"73" "Caslano, Mt. Caslano, Ostseite (Stremanode-Süd)" 2017 "2017_2" 5 342.4
"74" "Caslano, Mt. Caslano, Ostseite (Stremanode-Süd)" 2018 "2018_2" 5 342.4
"75" "Caslano, Mt. Caslano, Piatta-Ost, Uferweg" 2011 "2011_3" 5 289.4
"76" "Caslano, Mt. Caslano, Piatta-Ost, Uferweg" 2012 "2012_1" 5 289.4
"77" "Caslano, Mt. Caslano, Piatta-Ost, Uferweg" 2013 "2013_1" 5 289.4
"78" "Caslano, Mt. Caslano, Piatta-Ost, Uferweg" 2014 "2014_1" 5 289.4
"79" "Caslano, Mt. Caslano, Südostfuss, Uferweg" 1987 "1987_1" 5 273.8
"80" "Caslano, Mt. Caslano, Südostfuss, Uferweg" 1988 "1988_2" 5 273.8
"81" "Caslano, Mt. Caslano, Südostfuss, Uferweg" 1989 "1989_2" 5 273.8
"82" "Caslano, Mt. Caslano, Südostfuss, Uferweg" 2006 "2006_3" 5 273.8
"83" "Caslano, Mt. Caslano, Südostfuss, Uferweg" 2011 "2011_3" 5 273.8
"84" "Caslano, Mt. Caslano, Südostfuss, Uferweg" 2012 "2012_1" 5 273.8
"85" "Caslano, Mt. Caslano, Südostfuss, Uferweg" 2013 "2013_1" 5 273.8
"86" "Caslano, Mt. Caslano, Südostfuss, Uferweg" 2014 "2014_1" 5 273.8
"87" "Cevio, Bignasco, Süd, Wald" 2011 "2011_4" 6 432.8
"88" "Cevio, Bignasco, Süd, Wald" 2012 "2012_2" 6 432.8
"89" "Cevio, Bignasco, Süd, Wald" 2013 "2013_2" 6 432.8
"90" "Cevio, Bignasco, Süd, Wald" 2014 "2014_2" 6 432.8
"91" "Cevio, Bignasco, Süd, Wald" 2015 "2015_1" 6 432.8
"92" "Cevio, Bignasco, Süd, Wald" 2016 "2016_1" 6 432.8
"93" "Cevio, Bignasco, Süd, Wald" 2017 "2017_1" 6 432.8
"94" "Cevio, Bignasco, Süd, Wiese" 2011 "2011_4" 6 432.8
"95" "Cevio, Bignasco, Süd, Wiese" 2012 "2012_2" 6 432.8
"96" "Cevio, Bignasco, Süd, Wiese" 2013 "2013_2" 6 432.8
"97" "Cevio, Bignasco, Süd, Wiese" 2014 "2014_2" 6 432.8
"98" "Cevio, Bignasco, Süd, Wiese" 2015 "2015_1" 6 432.8
"99" "Cevio, Bignasco, Süd, Wiese" 2016 "2016_1" 6 432.8
"100" "Cevio, Bignasco, Süd, Wiese" 2017 "2017_1" 6 432.8
"101" "Chasseral, Nordwesthang" 1985 "1985_1" NA 1555.6
"102" "Chasseral, Nordwesthang" 1986 "1986_1" NA 1555.6
"103" "Chasseral, Nordwesthang" 1987 "1987_2" NA 1555.6
"104" "Chasseral, Südosthang, Bahnstation" 1981 "1981_4" NA 1527.9
"105" "Chasseral, Südosthang, Bahnstation" 1982 "1982_4" NA 1527.9
"106" "Chasseral, Südosthang, Bahnstation" 1983 "1983_3" NA 1527.9
"107" "Chasseral, Südosthang, Bahnstation" 1984 "1984_2" NA 1527.9
"108" "Chéserex, Chalet de la Dôle" 2012 "2012_3" NA 1431
"109" "Chevenez, Combe Vaillay (nord)" 2006 "2006_2" 7 478.4
"110" "Chevenez, Combe Vaillay (nord)" 2007 "2007_1" 7 478.4
"111" "Chevenez, Combe Vaillay (nord)" 2008 "2008_1" 7 478.4
"112" "Chevenez, Le Tchâfouè (sud)" 2006 "2006_2" NA 488.2
"113" "Chevenez, Le Tchâfouè (sud)" 2007 "2007_1" NA 488.2
"114" "Chevenez, Le Tchâfouè (sud)" 2008 "2008_1" NA 488.2
"115" "Col des Rangiers (West), Wald" 2012 "2012_4" 8 857.4
"116" "Col des Rangiers (West), Wald" 2013 "2013_3" 8 857.4
"117" "Col des Rangiers (West), Wald" 2014 "2014_3" 8 857.4
"118" "Col des Rangiers (West), Wiese" 2012 "2012_4" 8 861.5
"119" "Col des Rangiers (West), Wiese" 2013 "2013_3" 8 861.5
"120" "Col des Rangiers (West), Wiese" 2014 "2014_3" 8 861.5
"121" "Coldrerio, Valle della Motta, Molino" 1988 "1988_2" NA 288.3
"122" "Coldrerio, Valle della Motta, Molino" 1989 "1989_2" NA 288.3
"123" "Coldrerio, Valle della Motta, Molino" 1990 "1990_3" NA 288.3
"124" "Contone, Alla Monda, Moorwald" 1981 "1981_5" 14 200.8
"125" "Contone, Alla Monda, Moorwald" 1982 "1982_5" 14 200.8
"126" "Contone, Alla Monda, Moorwald" 1983 "1983_4" 14 200.8
"127" "Contone, Alla Monda, Moorwald" 1984 "1984_3" 14 200.8
"128" "Contone, Alla Monda, Moorwald" 1993 "1993_1" 14 200.8
"129" "Contone, Alla Monda, Moorwald" 1994 "1994_1" 14 200.8
"130" "Contone, Alla Monda, Moorwald" 1995 "1995_2" 14 200.8
"131" "Cragno, Alpe di Pree" 1994 "1994_2" NA 970
"132" "Cragno, Alpe di Pree" 1995 "1995_3" NA 970
"133" "Cragno, Alpe di Pree" 1996 "1996_1" NA 970
"134" "Dalpe, Bedrina" 2000 "2000_2" NA 1233.4
"135" "Dalpe, Bedrina" 2001 "2001_2" NA 1233.4
"136" "Dalpe, Bedrina" 2002 "2002_2" NA 1233.4
"137" "Dalpe, Bedrina" 2003 "2003_2" NA 1233.4
"138" "Dalpe, Bedrina" 2004 "2004_1" NA 1233.4
"139" "Ebikon, Rotseeried" 2003 "2003_3" NA 420.2
"140" "Ebikon, Rotseeried" 2004 "2004_2" NA 420.2
"141" "Eigental, Forrenmoos, östlicher Rand" 1982 "1982_3" NA 965.4
"142" "Eigental, Forrenmoos, östlicher Rand" 1983 "1983_5" NA 965.4
"143" "Eigental, Forrenmoos, westlicher Teil" 1984 "1984_4" NA 968.4
"144" "Elm, Obererbs, Matt, Skihütte" 2011 "2011_2" 10 1705
"145" "Elm, Obererbs, Matt, Skihütte" 2012 "2012_5" 10 1705
"146" "Elm, Obererbs, Matt, Skihütte" 2013 "2013_4" 10 1705
"147" "Elm, Untererbs, Bünenboden" 2011 "2011_2" 10 1540.9
"148" "Elm, Untererbs, Bünenboden" 2012 "2012_5" 10 1540.9
"149" "Elm, Untererbs, Bünenboden" 2013 "2013_4" 10 1540.9
"150" "Elm, Untererbs, Bünenboden" 2014 "2014_4" 10 1540.9
"151" "Engi, Mülibachtal, Eingangschlucht, Kraftwerk" 2005 "2005_2" 11 866.2
"152" "Engi, Mülibachtal, Eingangschlucht, Kraftwerk" 2006 "2006_4" 11 866.2
"153" "Engi, Mülibachtal, Eingangschlucht, Kraftwerk" 2007 "2007_2" 11 866.2
"154" "Engi, Mülibachtal, Müslenwald" 2005 "2005_2" 11 1024.2
"155" "Engi, Mülibachtal, Müslenwald" 2006 "2006_4" 11 1024.2
"156" "Engi, Mülibachtal, Müslenwald" 2007 "2007_2" 11 1024.2
"157" "Engi, Mülibachtal, Müslenwald" 2008 "2008_2" 11 1024.2
"158" "Ettiswil, Grundmatt" 1981 "1981_6" NA 517.6
"159" "Ettiswil, Grundmatt" 1982 "1982_6" NA 517.6
"160" "Fronalpstock, Kulm" 1979 "1979_1" NA 1878.2
"161" "Fronalpstock, Kulm" 1980 "1980_1" NA 1878.2
"162" "Fronalpstock, Kulm" 1981 "1981_2" NA 1878.2
"163" "Fronalpstock, Oberfeld" 1982 "1982_2" NA 1857.1
"164" "Fronalpstock, Oberfeld" 1983 "1983_2" NA 1857.1
"165" "Fronalpstock, Oberfeld" 1984 "1984_5" NA 1857.1
"166" "Fronalpstock, Oberfeld" 1985 "1985_2" NA 1857.1
"167" "Fronalpstock, Oberfeld" 1986 "1986_2" NA 1857.1
"168" "Fronalpstock, Oberfeld" 1987 "1987_3" NA 1857.1
"169" "Gandria, Scapi" 1979 "1979_2" NA 399.2
"170" "Gandria, Scapi" 1980 "1980_2" NA 399.2
"171" "Gandria, Scapi" 1981 "1981_5" NA 399.2
"172" "Gersau, Oberholz" 1976 "1976_1" NA 632.6
"173" "Gersau, Oberholz" 1978 "1978_1" NA 632.6
"174" "Gersau, Oberholz" 1979 "1979_1" NA 632.6
"175" "Gersau, Oberholz" 1980 "1980_1" NA 632.6
"176" "Gersau, Oberholz" 1981 "1981_2" NA 632.6
"177" "Gersau, Oberholz" 1983 "1983_2" NA 632.6
"178" "Gersau, Oberholz" 1984 "1984_5" NA 632.6
"179" "Gingins, La Barillette" 2013 "2013_5" NA 1444.8
"180" "Giswil, Hanenriet, Ostrand, Schilf" 1998 "1998_2" NA 470
"181" "Giswil, Hanenriet, Ostrand, Schilf" 1999 "1999_3" NA 470
"182" "Giswil, Hanenriet, Ostrand, Schilf" 2000 "2000_3" NA 470
"183" "Giswil, Hanenriet, Unter Ried" 1997 "1997_1" NA 471.1
"184" "Giswil, Hanenriet, Unter Ried" 1998 "1998_2" NA 471.1
"185" "Giswil, Hanenriet, Unter Ried" 1999 "1999_3" NA 471.1
"186" "Gola di Lago, Betuletum" 1999 "1999_1" 13 965.3
"187" "Gola di Lago, Betuletum" 2000 "2000_1" 13 965.3
"188" "Gola di Lago, Betuletum" 2001 "2001_1" 13 965.3
"189" "Gola di Lago, Betuletum" 2002 "2002_1" 13 965.3
"190" "Gola di Lago, Betuletum" 2003 "2003_1" 13 965.3
"191" "Gola di Lago, Betuletum" 2004 "2004_3" 13 965.3
"192" "Gola di Lago, Sphagnetum" 1999 "1999_1" 13 969.7
"193" "Gola di Lago, Sphagnetum" 2000 "2000_1" 13 969.7
"194" "Gola di Lago, Sphagnetum" 2001 "2001_1" 13 969.7
"195" "Gola di Lago, Sphagnetum" 2002 "2002_1" 13 969.7
"196" "Gola di Lago, Sphagnetum" 2003 "2003_1" 13 969.7
"197" "Gola di Lago, Sphagnetum" 2004 "2004_3" 13 969.7
"198" "Gordevio, Saleggio" 1979 "1979_3" NA 296.3
"199" "Gordevio, Saleggio" 1980 "1980_3" NA 296.3
"200" "Gordevio, Saleggio" 1986 "1986_3" NA 296.3
"201" "Gotthard-Hospiz" 1979 "1979_4" NA 2087.4
"202" "Gotthard-Hospiz" 1980 "1980_4" NA 2087.4
"203" "Gotthard-Hospiz" 1981 "1981_1" NA 2087.4
"204" "Gotthard-Hospiz, Ostseite" 1994 "1994_3" NA 2143.5
"205" "Gotthard-Hospiz, Ostseite" 1998 "1998_3" NA 2143.5
"206" "Gotthard-Hospiz, Ostseite" 1999 "1999_4" NA 2143.5
"207" "Gudo, Malacarne, Casa Panoramica, Via Caneggio, Wald" 2008 "2008_3" 15 364.5
"208" "Gudo, Malacarne, Casa Panoramica, Via Caneggio, Wald" 2009 "2009_3" 15 364.5
"209" "Gudo, Malacarne, Casa Panoramica, Via Caneggio, Wald" 2010 "2010_3" 15 364.5
"210" "Gudo, Malacarne, Casa Panoramica, Via Caneggio, Wald" 2011 "2011_5" 15 364.5
"211" "Gudo, Malacarne, Casa Romantica, Via Caneggio, Rebberg" 2008 "2008_3" 15 365.9
"212" "Gudo, Malacarne, Casa Romantica, Via Caneggio, Rebberg" 2009 "2009_3" 15 365.9
"213" "Gudo, Malacarne, Casa Romantica, Via Caneggio, Rebberg" 2010 "2010_3" 15 365.9
"214" "Gudo, Malacarne, Casa Romantica, Via Caneggio, Rebberg" 2011 "2011_5" 15 365.9
"215" "Hallau-Egg, Litihof" 1980 "1980_5" NA 521.7
"216" "Hallau-Egg, Litihof" 1981 "1981_7" NA 521.7
"217" "Hasle, Hochmoor Balmoos" 1975 "1975_2" NA 964.2
"218" "Hasle, Hochmoor Balmoos" 1976 "1976_2" NA 964.2
"219" "Hasle, Hochmoor Balmoos" 1977 "1977_1" NA 964.2
"220" "Hasle, Hochmoor Balmoos" 1978 "1978_2" NA 964.2
"221" "Hochdorf, Siedereiteich" 1978 "1978_3" NA 465.7
"222" "Hochdorf, Siedereiteich" 1979 "1979_5" NA 465.7
"223" "Hochdorf, Siedereiteich" 1980 "1980_6" NA 465.7
"224" "Horw LU, Haltiwald, Scheidhaldenstrasse, Waldrandgebiet" 2020 "2020_1" 16 463.3
"225" "Horw LU, Haltiwald, Scheidhaldenstrasse, Waldrandgebiet" 2021 "2021_1" 16 463.3
"226" "Horw LU, Haltiwald, Schwendelbergstrasse, Waldesinnere" 2020 "2020_1" 16 469.2
"227" "Horw LU, Haltiwald, Schwendelbergstrasse, Waldesinnere" 2021 "2021_1" 16 469.2
"228" "Hospental, Südrand" 1981 "1981_1" NA 1499.5
"229" "Hospental, Südrand" 1982 "1982_1" NA 1499.5
"230" "Hospental, Südrand" 1983 "1983_1" NA 1499.5
"231" "Hospental, Südrand" 1984 "1984_1" NA 1499.5
"232" "Ins, Landwirtschaftliche Schule Seeland" 1977 "1977_2" NA 431.6
"233" "Ins, Landwirtschaftliche Schule Seeland" 1979 "1979_6" NA 431.6
"234" "Ins, Landwirtschaftliche Schule Seeland" 1980 "1980_7" NA 431.6
"235" "Ins, Landwirtschaftliche Schule Seeland" 1981 "1981_4" NA 431.6
"236" "Ins, Landwirtschaftliche Schule Seeland" 1982 "1982_4" NA 431.6
"237" "Ins, Landwirtschaftliche Schule Seeland" 1983 "1983_3" NA 431.6
"238" "Ins, Landwirtschaftliche Schule Seeland" 1984 "1984_2" NA 431.6
"239" "Ins, Landwirtschaftliche Schule Seeland" 1985 "1985_1" NA 431.6
"240" "Ins, Landwirtschaftliche Schule Seeland" 1986 "1986_1" NA 431.6
"241" "Isleten, Hoch Flue, Saum" 2007 "2007_3" NA 605.7
"242" "Isleten, Hoch Flue, Saum" 2009 "2009_4" NA 605.7
"243" "Isleten, Hoch Flue, Saum" 2010 "2010_4" NA 605.7
"244" "Isleten, Hoch Flue, Saum" 2011 "2011_6" NA 605.7
"245" "Isleten, Hoch Flue, Saum" 2012 "2012_6" NA 605.7
"246" "Isleten, Hoch Flue, Saum" 2013 "2013_6" NA 605.7
"247" "Isleten, Hoch Flue, Saum" 2014 "2014_5" NA 605.7
"248" "Isola Brissago, Mitte der Insel" 1987 "1987_4" NA 196.9
"249" "Isola Brissago, Nordspitze" 1992 "1992_2" 17 193.4
"250" "Isola Brissago, Nordspitze" 1993 "1993_1" 17 193.4
"251" "Isola Brissago, Südspitze" 1992 "1992_2" 17 194.7
"252" "Isola Brissago, Südspitze" 1993 "1993_1" 17 194.7
"253" "Isola Brissago, Westufer" 1992 "1992_2" 17 196.9
"254" "Isola Brissago, Westufer" 1993 "1993_1" 17 196.9
"255" "Klausenpass-Ost" 2016 "2016_3" 18 1801.6
"256" "Klausenpass-Ost" 2017 "2017_3" 18 1801.6
"257" "Klausenpass-Ost" 2018 "2018_3" 18 1801.6
"258" "Klausenpass-Passhöhe" 2016 "2016_3" 18 1952.1
"259" "Klausenpass-Passhöhe" 2017 "2017_3" 18 1952.1
"260" "Klausenpass-Passhöhe" 2018 "2018_3" 18 1952.1
"261" "Klausenpass-West UR, Hotel Klausen-Passhöhe" 2016 "2016_3" 18 1844.9
"262" "Klausenpass-West UR, Hotel Klausen-Passhöhe" 2017 "2017_3" 18 1844.9
"263" "Klausenpass-West UR, Hotel Klausen-Passhöhe" 2018 "2018_3" 18 1844.9
"264" "Lauerz, Sägel" 1990 "1990_1" 20 455
"265" "Lauerz, Sägel" 1991 "1991_1" 20 455
"266" "Lauerz, Schwändi" 1988 "1988_3" NA 658.7
"267" "Lauerz, Schwändi" 1989 "1989_3" NA 658.7
"268" "Lauerz, Schwändi" 1990 "1990_1" NA 658.7
"269" "Lavorgo, Strada Calonico" 1985 "1985_3" NA 909.8
"270" "Lavorgo, Strada Calonico" 1986 "1986_4" NA 909.8
"271" "Lavorgo, Strada Calonico" 1987 "1987_5" NA 909.8
"272" "Lavorgo, Strada Calonico" 1988 "1988_4" NA 909.8
"273" "Les Genevez, Le Prédame nord, Les Embreux, Wald" 2012 "2012_4" 21 1012.4
"274" "Les Genevez, Le Prédame nord, Les Embreux, Wald" 2013 "2013_3" 21 1012.4
"275" "Les Genevez, Le Prédame nord, Wiese" 2012 "2012_4" 21 999.7
"276" "Les Genevez, Le Prédame nord, Wiese" 2013 "2013_3" 21 999.7
"277" "Löhningen, Biberichweg" 1983 "1983_6" NA 554.2
"278" "Löhningen, Biberichweg" 1984 "1984_6" NA 554.2
"279" "Löhningen, Biberichweg" 1985 "1985_4" NA 554.2
"280" "Losone, Gerre-Nord" 1986 "1986_3" NA 226.2
"281" "Losone, Gerre-Nord" 1987 "1987_4" NA 226.2
"282" "Losone, Gerre-Nord" 1988 "1988_5" NA 226.2
"283" "Lü, Alp Valmorain" 1990 "1990_4" 23 2238.7
"284" "Lü, Alp Valmorain" 1992 "1992_3" 23 2238.7
"285" "Lü, Alp Valmorain" 2000 "2000_4" 23 2238.7
"286" "Lü, Alp Valmorain" 2004 "2004_4" 23 2238.7
"287" "Lü, Nordwestrand, Lü Daint" 1988 "1988_6" 23 1978.6
"288" "Lü, Nordwestrand, Lü Daint" 1990 "1990_4" 23 1978.6
"289" "Lü, Nordwestrand, Lü Daint" 1999 "1999_5" 23 1978.6
"290" "Lü, Nordwestrand, Lü Daint" 2000 "2000_4" 23 1978.6
"291" "Lü, Nordwestrand, Lü Daint" 2004 "2004_4" 23 1978.6
"292" "Lugano, Monte Brè, Südseite, Sassa (Mitte), Sentiero Buzzanello" 1981 "1981_5" NA 752.2
"293" "Lugano, Monte Brè, Südseite, Sassa (Mitte), Sentiero Buzzanello" 1985 "1985_5" NA 752.2
"294" "Lugano, Monte Brè, Südseite, Sassa (Mitte), Sentiero Buzzanello" 2001 "2001_1" NA 752.2
"295" "Lugano, Monte Brè, Südseite, Sassa (Mitte), Sentiero Buzzanello" 2005 "2005_3" NA 752.2
"296" "Lugano, Monte Brè, Südseite, Sassa (Mitte), Sentiero Buzzanello" 2006 "2006_3" NA 752.2
"297" "Lugano, Monte Brè, Südseite, Sassa (Mitte), Sentiero Buzzanello" 2007 "2007_4" NA 752.2
"298" "Lugano, Monte Brè, Südseite, Sassa (oben), Via della Vetta" 1985 "1985_5" NA 915.1
"299" "Lugano, Monte Brè, Südseite, Sassa (oben), Via della Vetta" 1989 "1989_2" NA 915.1
"300" "Lugano, Monte Brè, Südseite, Sassa (oben), Via della Vetta" 1994 "1994_1" NA 915.1
"301" "Lugano, Monte Brè, Südseite, Sassa (oben), Via della Vetta" 1995 "1995_2" NA 915.1
"302" "Lugano, Monte Brè, Südseite, Sassa (oben), Via della Vetta" 2000 "2000_1" NA 915.1
"303" "Lugano, Monte Brè, Südseite, Sassa (oben), Via della Vetta" 2001 "2001_1" NA 915.1
"304" "Lugano, Monte Brè, Südseite, Sassa (oben), Via della Vetta" 2004 "2004_3" NA 915.1
"305" "Lugano, Monte Brè, Südseite, Sassa (oben), Via della Vetta" 2006 "2006_3" NA 915.1
"306" "Lugano, Monte Brè, Südseite, Sassa (oben), Via della Vetta" 2007 "2007_4" NA 915.1
"307" "Luzern-Stadt, Hombrig, Utenberg" 2005 "2005_4" NA 606.2
"308" "Luzern-Stadt, Hombrig, Utenberg" 2006 "2006_5" NA 606.2
"309" "Luzern-Stadt, Hombrig, Utenberg" 2007 "2007_5" NA 606.2
"310" "Luzern, Gütschwald" 1985 "1985_6" NA 557.1
"311" "Luzern, Gütschwald" 1986 "1986_5" NA 557.1
"312" "Magliaso, Magliasina-Mündung" 2006 "2006_3" 5 272.7
"313" "Magliaso, Magliasina-Mündung" 2011 "2011_3" 5 272.7
"314" "Magliaso, Magliasina-Mündung" 2012 "2012_1" 5 272.7
"315" "Magliaso, Magliasina-Mündung" 2013 "2013_1" 5 272.7
"316" "Magliaso, Magliasina-Mündung" 2014 "2014_1" 5 272.7
"317" "Magliaso, Magliasina-Mündung" 2015 "2015_2" 5 272.7
"318" "Magliaso, Magliasina-Mündung" 2016 "2016_2" 5 272.7
"319" "Magliaso, Magliasina-Mündung" 2017 "2017_2" 5 272.7
"320" "Magliaso, Magliasina-Mündung" 2018 "2018_2" 5 272.7
"321" "Meride Sant'Antonio" 1989 "1989_2" NA 595.1
"322" "Meride Sant'Antonio" 1990 "1990_3" NA 595.1
"323" "Meride Sant'Antonio" 1991 "1991_2" NA 595.1
"324" "Meride, Crocifisso" 1993 "1993_2" 25 675.2
"325" "Meride, Crocifisso" 1994 "1994_2" 25 675.2
"326" "Meride, Crocifisso" 1995 "1995_3" 25 675.2
"327" "Meride, Crocifisso" 1996 "1996_1" 25 675.2
"328" "Meride, Crocifisso" 1997 "1997_2" 25 675.2
"329" "Meride, Crocifisso" 1998 "1998_4" 25 675.2
"330" "Meride, Crocifisso" 1999 "1999_6" 25 675.2
"331" "Meride, Crocifisso" 2000 "2000_1" 25 675.2
"332" "Meride, Crocifisso" 2001 "2001_1" 25 675.2
"333" "Meride, Crocifisso" 2004 "2004_3" 25 675.2
"334" "Meride, Fontana" 1992 "1992_4" NA 608.1
"335" "Meride, Fontana" 1993 "1993_2" NA 608.1
"336" "Meride, Fontana" 1994 "1994_2" NA 608.1
"337" "Meride, Serpiano, Wald" 1995 "1995_3" NA 627.9
"338" "Meride, Serpiano, Wald" 1996 "1996_1" NA 627.9
"339" "Meride, Serpiano, Wald" 1997 "1997_2" NA 627.9
"340" "Monte Brè - Ca'Gina" 1984 "1984_3" NA 791.6
"341" "Monte Brè - Ca'Gina" 1985 "1985_5" NA 791.6
"342" "Monte Brè - Ca'Gina" 1986 "1986_6" NA 791.6
"343" "Monte Brè, Vetta (Spitze)" 1983 "1983_4" NA 892.2
"344" "Monte Generoso, Bellavista" 1982 "1982_7" NA 1214.3
"345" "Monte Generoso, Bellavista" 1983 "1983_4" NA 1214.3
"346" "Monte Generoso, Bellavista" 1984 "1984_3" NA 1214.3
"347" "Monte Generoso, Bellavista-Ost, Hangwiese" 1994 "1994_2" 25 1197.8
